[2025-12-30T11:48:17.648+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2509, completion-tokens, 48, total-tokens, 2557, cost-ms, 2332, requestId, 4fa89818-c8c4-9031-9e6d-38a59fcbcad6, temperature, 0
[2025-12-30T17:42:36.935+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2532, completion-tokens, 90, total-tokens, 2622, cost-ms, 3737, requestId, f3885ec4-2f73-972a-bb44-9f6bfa9b7c78, temperature, 0
[2025-12-30T17:42:42.700+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2919, completion-tokens, 93, total-tokens, 3012, cost-ms, 3121, requestId, 62e9382e-0274-9d7c-8fa8-7ac00ad11bc0, temperature, 0
[2025-12-30T17:42:48.564+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3050, completion-tokens, 86, total-tokens, 3136, cost-ms, 2888, requestId, 0331c82e-885f-9761-89f9-4b837cbaa1df, temperature, 0
[2025-12-30T17:42:57.629+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3174, completion-tokens, 116, total-tokens, 3290, cost-ms, 5488, requestId, d416fbac-b9f7-9128-b269-b68a0f81be93, temperature, 0
[2025-12-30T17:43:10.316+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3328, completion-tokens, 106, total-tokens, 3434, cost-ms, 4355, requestId, 195e0fe0-1b64-91c4-84de-40eac53cdac1, temperature, 0
[2025-12-30T17:43:19.415+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3472, completion-tokens, 84, total-tokens, 3556, cost-ms, 2906, requestId, 57d3d2dd-5de7-9770-9653-f549e79a2921, temperature, 0
[2025-12-30T17:43:28.307+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2510, completion-tokens, 91, total-tokens, 2601, cost-ms, 3214, requestId, ba4721f6-a9a9-96ce-aa18-4e7c8f8796d6, temperature, 0
[2025-12-30T17:43:35.973+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2898, completion-tokens, 90, total-tokens, 2988, cost-ms, 3410, requestId, dcbf55b0-1966-930e-a92a-0330c3fda8ec, temperature, 0
[2025-12-30T17:43:44.350+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3026, completion-tokens, 99, total-tokens, 3125, cost-ms, 3954, requestId, 41c52076-311d-9832-8cf9-af9203a1580c, temperature, 0
[2025-12-30T17:43:53.822+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3163, completion-tokens, 87, total-tokens, 3250, cost-ms, 4019, requestId, 4764bb59-9eb3-9d47-bbb9-f4abe86d745d, temperature, 0
[2025-12-30T17:44:04.340+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3288, completion-tokens, 95, total-tokens, 3383, cost-ms, 4056, requestId, 25e02cc2-cb56-9d98-9c24-6c86be67ac00, temperature, 0
[2025-12-30T17:44:11.755+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 94, total-tokens, 2608, cost-ms, 3164, requestId, c4353e0a-b3ef-9d9c-920b-77b00e7bd52a, temperature, 0
[2025-12-30T17:44:20.400+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2512, completion-tokens, 94, total-tokens, 2606, cost-ms, 3346, requestId, 5e817abe-8fb8-92a4-8e20-93169e778af9, temperature, 0
[2025-12-30T17:44:29.287+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2903, completion-tokens, 87, total-tokens, 2990, cost-ms, 3613, requestId, f82fb941-63be-905d-bdf9-4885091a7245, temperature, 0
[2025-12-30T17:44:39.321+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3028, completion-tokens, 87, total-tokens, 3115, cost-ms, 4593, requestId, 867d01ff-c9eb-9324-a184-65820ae8e69c, temperature, 0
[2025-12-30T17:44:47.299+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3153, completion-tokens, 33, total-tokens, 3186, cost-ms, 2364, requestId, d912ac1e-2b8f-9716-a94b-6da0fc7fde20, temperature, 0
[2025-12-30T17:44:53.295+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3224, completion-tokens, 94, total-tokens, 3318, cost-ms, 3410, requestId, 993660e9-53cb-9c25-9641-8fa2dc1ca0f8, temperature, 0
[2025-12-30T17:45:00.853+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3356, completion-tokens, 82, total-tokens, 3438, cost-ms, 3044, requestId, 68b22737-d713-9e05-aeea-00d169ff63c3, temperature, 0
[2025-12-30T17:45:08.165+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3476, completion-tokens, 89, total-tokens, 3565, cost-ms, 3258, requestId, 8e0b4953-69e2-93f8-b7f9-6f034dd88df3, temperature, 0
[2025-12-30T17:45:15.737+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3603, completion-tokens, 85, total-tokens, 3688, cost-ms, 3234, requestId, 4b8984d8-21cc-93f4-8d49-af68b600ebf5, temperature, 0
[2025-12-30T17:54:36.732+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2539, completion-tokens, 90, total-tokens, 2629, cost-ms, 5423, requestId, e54dcb3a-cc62-9696-aae5-f7e0c43e9229, temperature, 0
[2025-12-30T17:54:43.991+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2926, completion-tokens, 86, total-tokens, 3012, cost-ms, 3984, requestId, 58e12985-a5fb-9a4c-8ee0-aa3605e462d8, temperature, 0
[2025-12-30T17:54:49.518+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3050, completion-tokens, 87, total-tokens, 3137, cost-ms, 3226, requestId, 088776a2-c000-9497-b6fc-67ed3cd147af, temperature, 0
[2025-12-30T17:54:55.402+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3175, completion-tokens, 84, total-tokens, 3259, cost-ms, 3024, requestId, a3a912d5-e2af-953a-9f4d-e143b9490f87, temperature, 0
[2025-12-30T17:55:02.393+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3297, completion-tokens, 88, total-tokens, 3385, cost-ms, 4091, requestId, bd078906-f715-916a-9bcf-9fe4cb7f3325, temperature, 0
[2025-12-30T17:55:08.713+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3423, completion-tokens, 88, total-tokens, 3511, cost-ms, 3344, requestId, 8fa721dd-a1a5-97b6-b56b-9d92e5a0fa9d, temperature, 0
[2025-12-30T17:55:15.686+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3549, completion-tokens, 84, total-tokens, 3633, cost-ms, 3662, requestId, d9a74388-de15-9c53-a6f4-8c05c1c29c9b, temperature, 0
[2025-12-30T17:55:25.334+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3671, completion-tokens, 92, total-tokens, 3763, cost-ms, 5479, requestId, 46c5ae06-8e1a-96b7-afde-234e484ab47c, temperature, 0
[2025-12-30T17:55:35.303+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3801, completion-tokens, 100, total-tokens, 3901, cost-ms, 5545, requestId, 64a2375e-7f7d-9042-9c98-ca14363e3f1e, temperature, 0
[2025-12-30T17:55:47.603+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3939, completion-tokens, 93, total-tokens, 4032, cost-ms, 3793, requestId, c278be6e-c76e-918b-ad2e-e409107be179, temperature, 0
[2025-12-30T17:55:57.657+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4070, completion-tokens, 81, total-tokens, 4151, cost-ms, 3814, requestId, 4aa48397-f45f-9c08-bf1d-ab10dc524e43, temperature, 0
[2025-12-30T17:56:05.967+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4189, completion-tokens, 85, total-tokens, 4274, cost-ms, 4062, requestId, ad1d04e7-40f0-9dd8-8244-0a1a5893a7b7, temperature, 0
[2025-12-30T17:56:14.276+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4312, completion-tokens, 90, total-tokens, 4402, cost-ms, 4719, requestId, d0256da1-a0f5-9fb7-9f70-54ab00c0cf67, temperature, 0
[2025-12-30T17:57:03.914+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2539, completion-tokens, 90, total-tokens, 2629, cost-ms, 4208, requestId, e24edf4d-1a0c-9c53-a8fc-f4bcc78038b0, temperature, 0
[2025-12-30T17:57:10.459+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2926, completion-tokens, 86, total-tokens, 3012, cost-ms, 3272, requestId, 7ed34370-32e3-9588-9a71-6f49c4f1e1c8, temperature, 0
[2025-12-30T17:57:15.914+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3050, completion-tokens, 87, total-tokens, 3137, cost-ms, 2963, requestId, ac01da96-18ec-9ee3-8f4a-1a7d1dd5c095, temperature, 0
[2025-12-30T17:57:20.725+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3175, completion-tokens, 32, total-tokens, 3207, cost-ms, 1712, requestId, 3b23d56b-c44a-96ce-9908-0d6ba22a2e01, temperature, 0
[2025-12-30T17:57:24.832+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3245, completion-tokens, 84, total-tokens, 3329, cost-ms, 3383, requestId, a739343f-d506-94d1-a0f5-f519c6db52e7, temperature, 0
[2025-12-30T17:57:31.447+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3367, completion-tokens, 88, total-tokens, 3455, cost-ms, 3606, requestId, 8b3e356e-24f2-962a-88db-06aaba69a8e7, temperature, 0
[2025-12-30T17:57:38.677+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3493, completion-tokens, 84, total-tokens, 3577, cost-ms, 3873, requestId, 4bdd3c02-68c7-9fe8-b534-07f670f2de28, temperature, 0
[2025-12-30T17:57:45.802+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3615, completion-tokens, 92, total-tokens, 3707, cost-ms, 3087, requestId, 5f95f294-dfc6-94d3-9bb3-dcd11f6ee4ff, temperature, 0
[2025-12-30T17:57:54.136+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3745, completion-tokens, 109, total-tokens, 3854, cost-ms, 3566, requestId, 9db2a544-f373-9949-a357-587cf9cf0909, temperature, 0
[2025-12-30T17:58:06.663+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3892, completion-tokens, 94, total-tokens, 3986, cost-ms, 3534, requestId, c797e14a-d85e-9b66-ab45-264f1b075bba, temperature, 0
[2025-12-30T18:02:05.429+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2561, completion-tokens, 90, total-tokens, 2651, cost-ms, 3664, requestId, 50b08621-11da-96e1-a82a-4716e48db21f, temperature, 0
[2025-12-30T18:02:12.117+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2948, completion-tokens, 86, total-tokens, 3034, cost-ms, 3556, requestId, 4be70d60-bae0-9f39-9dbc-0c0d6b566477, temperature, 0
[2025-12-30T18:02:17.952+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3072, completion-tokens, 87, total-tokens, 3159, cost-ms, 3666, requestId, aca69cb1-4bc0-9561-a930-6ae7ebb6b075, temperature, 0
[2025-12-30T18:02:24.006+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3197, completion-tokens, 84, total-tokens, 3281, cost-ms, 3549, requestId, 9a646a53-4454-98ef-81ba-66c32c10924c, temperature, 0
[2025-12-30T18:02:30.061+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3319, completion-tokens, 88, total-tokens, 3407, cost-ms, 3318, requestId, e7565927-2457-92b5-9cd5-365e0885487b, temperature, 0
[2025-12-30T18:02:36.336+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3445, completion-tokens, 91, total-tokens, 3536, cost-ms, 3356, requestId, 245c10e1-b431-9c86-89c9-4b2bf0a57d60, temperature, 0
[2025-12-30T18:02:42.987+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3574, completion-tokens, 84, total-tokens, 3658, cost-ms, 3388, requestId, 10eda5d8-e3c9-91fc-bcf5-0c6a274a1491, temperature, 0
[2025-12-30T18:02:50.455+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3696, completion-tokens, 114, total-tokens, 3810, cost-ms, 3585, requestId, bcd8adb5-c7d4-9a31-9cdb-ce91ea2bd32c, temperature, 0
[2025-12-30T18:03:03.045+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3848, completion-tokens, 86, total-tokens, 3934, cost-ms, 4132, requestId, 70812dbd-1139-993f-b987-440e7a942746, temperature, 0
[2025-12-30T18:03:10.846+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3972, completion-tokens, 86, total-tokens, 4058, cost-ms, 3580, requestId, 01970156-e353-9d45-a925-d6a3b4d958bc, temperature, 0
[2025-12-30T18:03:18.573+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4096, completion-tokens, 91, total-tokens, 4187, cost-ms, 3556, requestId, 91706f50-c1cb-96b4-8cf3-919556a5441a, temperature, 0
[2025-12-30T18:03:26.572+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4225, completion-tokens, 86, total-tokens, 4311, cost-ms, 3953, requestId, 2b5aa306-c551-93a2-b533-9716468396d6, temperature, 0
[2025-12-30T18:03:34.725+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4349, completion-tokens, 88, total-tokens, 4437, cost-ms, 3920, requestId, b4ebd157-dc1e-92d4-9a68-57508b5c4c2b, temperature, 0
[2025-12-30T18:03:43.273+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4475, completion-tokens, 91, total-tokens, 4566, cost-ms, 4352, requestId, 63339d15-3092-9845-bd93-d7cdf3b519de, temperature, 0
[2025-12-30T18:03:49.615+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4604, completion-tokens, 32, total-tokens, 4636, cost-ms, 1894, requestId, 777e09d6-743a-9cea-a789-081bfbb6469b, temperature, 0
[2025-12-31T11:19:34.808+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2561, completion-tokens, 90, total-tokens, 2651, cost-ms, 3972, requestId, 0a5eccd7-b750-92dc-a63c-19b2d7f510fc, temperature, 0
[2025-12-31T11:19:40.014+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2948, completion-tokens, 33, total-tokens, 2981, cost-ms, 1957, requestId, 99c65974-20f1-9ed2-b4ea-fd233fe568f3, temperature, 0
[2025-12-31T11:19:46.463+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3019, completion-tokens, 86, total-tokens, 3105, cost-ms, 5898, requestId, db48b758-1590-931b-ac36-2d810c94a761, temperature, 0
[2025-12-31T11:19:52.137+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3143, completion-tokens, 87, total-tokens, 3230, cost-ms, 3473, requestId, 1a378ec0-b97b-982e-9c89-042d948ce03a, temperature, 0
[2025-12-31T11:19:59.362+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3268, completion-tokens, 84, total-tokens, 3352, cost-ms, 4684, requestId, 2b304c22-2ebd-921d-aaf0-3608808a85f3, temperature, 0
[2025-12-31T11:20:06.836+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3390, completion-tokens, 88, total-tokens, 3478, cost-ms, 4777, requestId, 14b0c9e8-55e2-9da6-a445-7370934cc9be, temperature, 0
[2025-12-31T11:20:12.546+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3516, completion-tokens, 88, total-tokens, 3604, cost-ms, 3090, requestId, 637e8cbe-2ba6-9654-bf0e-119c28675803, temperature, 0
[2025-12-31T11:20:20.178+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3642, completion-tokens, 84, total-tokens, 3726, cost-ms, 3401, requestId, c7ab9172-19f6-9a08-b9b5-cbcde08dc038, temperature, 0
[2025-12-31T11:20:29.156+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3764, completion-tokens, 114, total-tokens, 3878, cost-ms, 4982, requestId, d3031792-54b8-9af2-8462-6930ae8a8c4c, temperature, 0
[2025-12-31T11:20:42.699+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3916, completion-tokens, 86, total-tokens, 4002, cost-ms, 3190, requestId, 279ddb5a-7c5b-9222-a906-d86a0b943e1a, temperature, 0
[2025-12-31T11:20:52.274+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4040, completion-tokens, 86, total-tokens, 4126, cost-ms, 4818, requestId, d7d8059d-44a9-920b-9a30-9e26abc4b1f2, temperature, 0
[2025-12-31T11:20:59.716+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4164, completion-tokens, 90, total-tokens, 4254, cost-ms, 3298, requestId, 95bdd6b1-5df4-9037-9af3-f30d3e7a16b6, temperature, 0
[2025-12-31T11:21:06.498+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4292, completion-tokens, 86, total-tokens, 4378, cost-ms, 2664, requestId, 6676598e-38cf-96ea-a356-9ac9bd20b7a5, temperature, 0
[2025-12-31T11:21:14.514+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4416, completion-tokens, 88, total-tokens, 4504, cost-ms, 3750, requestId, 4f9047ef-05a5-9993-83f5-02587b86b858, temperature, 0
[2025-12-31T11:21:21.707+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4542, completion-tokens, 88, total-tokens, 4630, cost-ms, 3136, requestId, 1caff278-b4e4-91cf-a4bc-683204944782, temperature, 0
[2025-12-31T11:21:28.071+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4668, completion-tokens, 32, total-tokens, 4700, cost-ms, 2017, requestId, cc6d8fdd-90a7-93c5-8918-d99de89797e7, temperature, 0
[2025-12-31T11:21:32.849+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4738, completion-tokens, 29, total-tokens, 4767, cost-ms, 3774, requestId, f93f69ae-382c-9ce1-9b94-35ac2651017f, temperature, 0
[2025-12-31T11:21:37.873+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2510, completion-tokens, 84, total-tokens, 2594, cost-ms, 3195, requestId, a78dfcf5-b9ea-92cd-b3e5-8b6d71f5ad00, temperature, 0
[2025-12-31T11:21:45.545+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 94, total-tokens, 2608, cost-ms, 4278, requestId, 681de8a9-1e3d-96fa-97cf-b03a79d50529, temperature, 0
[2025-12-31T11:21:51.626+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2518, completion-tokens, 81, total-tokens, 2599, cost-ms, 2594, requestId, 0eafcc67-74d9-9866-90d0-a6fbab15ae5f, temperature, 0
[2025-12-31T11:21:58.321+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2896, completion-tokens, 84, total-tokens, 2980, cost-ms, 3537, requestId, 994a75bc-820f-9377-b5cd-630412460ce1, temperature, 0
[2025-12-31T11:22:05.005+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3018, completion-tokens, 84, total-tokens, 3102, cost-ms, 3465, requestId, 63bba83a-02f1-94cc-b419-3c3306ca1350, temperature, 0
[2025-12-31T11:22:14.288+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3140, completion-tokens, 101, total-tokens, 3241, cost-ms, 4251, requestId, 38281f2c-447c-9b20-9158-f117245be5a1, temperature, 0
[2025-12-31T11:29:31.969+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2561, completion-tokens, 90, total-tokens, 2651, cost-ms, 3247, requestId, 6a4cea94-b1af-9273-8ed1-f7d200dca092, temperature, 0
[2025-12-31T11:29:38.505+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2948, completion-tokens, 86, total-tokens, 3034, cost-ms, 3183, requestId, 97618a9c-80dd-9b47-97d0-3c13d66b850b, temperature, 0
[2025-12-31T11:29:45.841+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3072, completion-tokens, 87, total-tokens, 3159, cost-ms, 4928, requestId, efed848e-7c41-9e7b-b590-a79432fca46d, temperature, 0
[2025-12-31T11:29:51.467+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3197, completion-tokens, 84, total-tokens, 3281, cost-ms, 2824, requestId, 6d561530-4ec5-9a34-a866-93ea816231a3, temperature, 0
[2025-12-31T11:29:58.371+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3319, completion-tokens, 88, total-tokens, 3407, cost-ms, 3963, requestId, cbbe4ab8-f389-9c4c-a1e0-8a7a2d00164e, temperature, 0
[2025-12-31T11:30:04.587+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3445, completion-tokens, 91, total-tokens, 3536, cost-ms, 3217, requestId, 01520e2d-d6f0-99b6-97a2-5139a7b93124, temperature, 0
[2025-12-31T11:30:10.650+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3574, completion-tokens, 84, total-tokens, 3658, cost-ms, 3007, requestId, ecefba02-6d70-9ab0-b672-870b5b248076, temperature, 0
[2025-12-31T11:30:20.587+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3696, completion-tokens, 114, total-tokens, 3810, cost-ms, 4372, requestId, 414eb236-d94c-9051-81f8-452546a1c595, temperature, 0
[2025-12-31T11:30:34.472+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3848, completion-tokens, 86, total-tokens, 3934, cost-ms, 3420, requestId, 657b7be1-57e9-957f-9948-22cab239ba91, temperature, 0
[2025-12-31T11:30:44.218+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3972, completion-tokens, 86, total-tokens, 4058, cost-ms, 3740, requestId, 6fc7f9f1-48a5-956c-bb54-89eed77940f2, temperature, 0
[2025-12-31T11:30:54.076+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4096, completion-tokens, 90, total-tokens, 4186, cost-ms, 3803, requestId, c0c3384d-2068-9250-bf9c-6f6e63c9c8aa, temperature, 0
[2025-12-31T11:31:05.271+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4224, completion-tokens, 88, total-tokens, 4312, cost-ms, 5053, requestId, 0b41b73e-bb9d-9cac-925e-90cd8d6df3fe, temperature, 0
[2025-12-31T11:31:17.232+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4350, completion-tokens, 91, total-tokens, 4441, cost-ms, 6082, requestId, 82f174db-5e6f-99a3-961b-ce3dc0531f6f, temperature, 0
[2025-12-31T11:31:25.743+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4479, completion-tokens, 34, total-tokens, 4513, cost-ms, 2663, requestId, be4b4cd5-1180-9635-bdf4-4e2ed76c4261, temperature, 0
[2025-12-31T11:31:33.063+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4551, completion-tokens, 85, total-tokens, 4636, cost-ms, 3872, requestId, d78771d9-10d8-9abf-a6a9-c7644d8e34d6, temperature, 0
[2025-12-31T11:31:41.625+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 884, completion-tokens, 70, total-tokens, 954, cost-ms, 3777, requestId, 3ad0ce8a-bde5-9453-bb59-c6ca6d35cf0d, temperature, 0
[2025-12-31T11:31:47.019+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 94, total-tokens, 2608, cost-ms, 3365, requestId, 85e91e11-1ef3-96aa-91cf-5281b260e808, temperature, 0
[2025-12-31T11:31:55.257+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2512, completion-tokens, 81, total-tokens, 2593, cost-ms, 4098, requestId, 9cf0735c-c1ad-95f8-847d-ce577ad9635c, temperature, 0
[2025-12-31T11:32:02.050+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2890, completion-tokens, 84, total-tokens, 2974, cost-ms, 2944, requestId, 1f5cbce0-5491-9bd2-bc16-2f4f13c5543f, temperature, 0
[2025-12-31T11:32:12.006+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 883, completion-tokens, 85, total-tokens, 968, cost-ms, 5354, requestId, 9ba176ac-0fd0-9f67-ba6a-ad49b42d8333, temperature, 0
